qid,K,C,layer,train_input,test_input,decision_score,probability,fold
Who was the producer of Titanic?,1,1,17,q,q,-0.2611247373678933,0.43508724296710505,3
Who was the director of The Omen?,1,1,17,q,q,9.328582893403421,0.9999111598381842,3
Who was the screenwriter for The Joy Luck Club?,1,1,17,q,q,1.5904363045596361,0.8306774792056317,3
Who is the author of GNU General Public License?,1,1,17,q,q,-2.7767767460377284,0.058592094453357724,3
In what country is The Players Championship?,1,1,17,q,q,7.701461261715081,0.9995480383945731,1
Who is the author of Black Orchids?,1,1,17,q,q,6.310186437865767,0.9981856036972868,1
What is the capital of Confederate States of America?,1,1,17,q,q,4.510636750718085,0.9891280395809924,3
What sport does 2006–07 Primera B Nacional play?,1,1,17,q,q,10.382920387636023,0.9999690442361104,4
Who was the screenwriter for Stereo?,1,1,17,q,q,-5.528513572443525,0.003956175141040758,0
Who is the author of Natalka Poltavka?,1,1,17,q,q,2.210127613168846,0.9011552944739951,4
What sport does Tranmere Rovers F.C. play?,1,1,17,q,q,11.645660777210917,0.999991243108207,2
Who was the screenwriter for Wolf?,1,1,17,q,q,-5.738789031007681,0.003208337060328722,1
What genre is Super Mario World?,1,1,17,q,q,8.702543809835674,0.999833865018526,4
Who was the screenwriter for Witness for the Prosecution?,1,1,17,q,q,2.725910472381,0.938538359066874,2
Who is the father of Macrianus Minor?,1,1,17,q,q,6.513018026788784,0.9985182047521238,0
What sport does Ligue Magnus play?,1,1,17,q,q,7.199062990829676,0.999253272324935,4
What is Dick Rude's occupation?,1,1,17,q,q,6.358507808047678,0.9982710452764837,4
In what country is Deodara?,1,1,17,q,q,4.628443808206014,0.9903245772121897,3
Who was the director of Madea Gets a Job?,1,1,17,q,q,2.186865386903782,0.8990638019316082,2
Who is the father of Tiger Woods?,1,1,17,q,q,17.34116692781302,0.9999999705675184,0
In what country is Kuujjuarapik?,1,1,17,q,q,10.032483864941268,0.9999560530710749,3
Who is the author of New Mutants?,1,1,17,q,q,10.11797922131745,0.9999596540511316,3
In what country is Lugano Airport?,1,1,17,q,q,12.220863036052572,0.999995073432021,2
In what country is Sinaloa Cartel?,1,1,17,q,q,15.739991677012942,0.9999998540485526,4
Who is the father of William III of the Netherlands?,1,1,17,q,q,3.688030881845182,0.9755895558636356,1
In what country is Chrysler?,1,1,17,q,q,5.117843109364068,0.9940467272787799,0
Who is the author of Jumper?,1,1,17,q,q,-0.7974510212096169,0.31057103401726815,0
Who was the director of The Designated Mourner?,1,1,17,q,q,4.827075678928187,0.9920537382455843,2
What is Andy C's occupation?,1,1,17,q,q,8.27980466861445,0.9997464775612814,1
What is the capital of Russia?,1,1,17,q,q,7.811228720459179,0.9995950041744998,3
In what country is Bouvet Island?,1,1,17,q,q,15.590616194970181,0.999999830534482,0
What sport does Corby Town F.C. play?,1,1,17,q,q,9.189998688800562,0.9998979554156379,3
In what country is Revigliasco d'Asti?,1,1,17,q,q,12.894367367614885,0.9999974878456841,3
Who was the screenwriter for Les Bonnes Femmes?,1,1,17,q,q,-0.19198201971003925,0.4521513683413088,4
What is the capital of Uzbekistan?,1,1,17,q,q,11.104529893329143,0.9999849562048961,4
In what country is Asiana Airlines?,1,1,17,q,q,9.260946512226628,0.9999049437344758,2
What is the capital of Obwalden?,1,1,17,q,q,9.79441683911404,0.9999442410487303,3
In what country is Kanjiroba Himal?,1,1,17,q,q,9.898032649665637,0.9999497290368997,0
Who was the director of Green Hell?,1,1,17,q,q,-7.82284104645921,0.0004003219544158006,1
Who is the father of Randolph Churchill?,1,1,17,q,q,7.925309534635499,0.9996386526765187,2
In what country is Kireyevsky District?,1,1,17,q,q,3.4782741961942367,0.9700632425453599,3
What is Benazir Bhutto's occupation?,1,1,17,q,q,4.597122326637555,0.9900198050777519,4
Who was the director of Alphaville?,1,1,17,q,q,8.274824318043235,0.9997452121037665,1
What is Firaq Gorakhpuri's occupation?,1,1,17,q,q,8.775788805017518,0.99984559680385,3
Who was the screenwriter for Tanu Weds Manu?,1,1,17,q,q,0.9217078390466749,0.7153899618412429,4
Who was the composer of Samson?,1,1,17,q,q,0.011498731610368296,0.502874651228598,3
Who is the author of Couples?,1,1,17,q,q,-7.53570565636457,0.000533399865411496,1
Who was the producer of Xxplosive?,1,1,17,q,q,0.8212478194510342,0.6945011533255958,2
Who was the composer of Shaft?,1,1,17,q,q,4.285728199615834,0.9864232693980934,1
Who was the producer of No Entry?,1,1,17,q,q,-3.236330996754888,0.0378211820759405,4
Who is the mother of Todd McCaffrey?,1,1,17,q,q,4.483561089678548,0.9888329848743522,3
What genre is Death of an Expert Witness?,1,1,17,q,q,0.9134031281525745,0.7136960429412443,4
What sport does 1994–95 FIBA Women's European Champions Cup play?,1,1,17,q,q,8.97553483367925,0.9998735497100646,0
What genre is Johann Sebastian Bach?,1,1,17,q,q,3.3552591778422567,0.9662766328347661,3
In what city was Ted Williams born?,1,1,17,q,q,1.1507242741192694,0.759643183708669,2
What sport does St. Louis Cardinals play?,1,1,17,q,q,5.05550029967179,0.9936661958228643,4
What is the capital of Portugal?,1,1,17,q,q,10.150555640282708,0.9999609471497231,2
What is Kanye West's occupation?,1,1,17,q,q,7.478290406528915,0.9994350964050265,2
Who is the author of A Marriage Proposal?,1,1,17,q,q,-0.13967543268389782,0.46513780128612575,3
What color is Juventus F.C.?,1,1,17,q,q,6.828454800490284,0.9989186410529619,3
Who is the author of When I have Fears that I may Cease to Be?,1,1,17,q,q,4.907343985745889,0.9926621463244966,0
What is Cardiff the capital of?,1,1,17,q,q,2.6351570201219063,0.9330902368518198,1
Who was the screenwriter for Brave?,1,1,17,q,q,4.348621665246737,0.9872402994592021,2
Who is the author of Same-Sex Unions in Pre-Modern Europe?,1,1,17,q,q,-0.7782486993189917,0.3146974541367672,1
What color is chalk?,1,1,17,q,q,6.009480419594562,0.997550650435922,2
What is the capital of French Polynesia?,1,1,17,q,q,8.964531597924129,0.9998721508436829,2
What is the capital of Vanuatu?,1,1,17,q,q,9.160839936505717,0.9998949364345342,3
What is the capital of El Salvador?,1,1,17,q,q,11.738087899395236,0.999992016198514,4
Who was the producer of Open Season?,1,1,17,q,q,4.0173940981718355,0.9823184548332127,3
Who is the author of Molly Moon Stops the World?,1,1,17,q,q,3.526392090918555,0.9714294475414776,2
Who is the author of Libra?,1,1,17,q,q,1.7655057909392027,0.85389788149902,1
Who is the father of Ramkarpal Singh?,1,1,17,q,q,3.3406261604723024,0.9657965326699609,2
What is the religion of saint?,1,1,17,q,q,-1.5771732289647156,0.1711961943631362,2
Who is the author of The Stud?,1,1,17,q,q,7.00527418839029,0.9990937368689138,1
What genre is Big Business?,1,1,17,q,q,-3.9897764337329518,0.018167678487643966,3
In what country is Volvic?,1,1,17,q,q,7.78558870221211,0.9995844901752685,2
In what country is Pindus?,1,1,17,q,q,8.889211844771275,0.9998621507282666,0
"Who is the author of The Quest: Energy, Security, and the Remaking of the Modern World?",1,1,17,q,q,1.6365200973547727,0.8370608701329436,2
What is the capital of Nauru?,1,1,17,q,q,10.791719246804861,0.9999794312950757,3
What is the capital of Kingdom of the Netherlands?,1,1,17,q,q,8.727652962809579,0.9998379839238257,4
What is William Lescaze's occupation?,1,1,17,q,q,3.183524003213624,0.9602095268873581,3
In what city was Babyface born?,1,1,17,q,q,6.0803303293946485,0.9977177994276061,0
In what city was Jean Arp born?,1,1,17,q,q,3.163357615290835,0.9594318346226766,0
What is the capital of Afghanistan?,1,1,17,q,q,7.658024362480107,0.9995279834410505,1
Who was the director of Mud?,1,1,17,q,q,2.6941006311121445,0.9366776368885349,1
What is Nigel Sheinwald's occupation?,1,1,17,q,q,0.24812978737071467,0.561716124415868,3
Who was the screenwriter for Toy Story?,1,1,17,q,q,10.236136695074048,0.9999641501991319,4
Who is the author of The Neverending Story?,1,1,17,q,q,5.801329647983699,0.9969855823493103,2
What genre is Southern Rock Opera?,1,1,17,q,q,3.241642023831842,0.9623716164260264,4
What is Rodez the capital of?,1,1,17,q,q,8.545042690192515,0.9998055308809035,2
What is the capital of Wales?,1,1,17,q,q,9.611043919637389,0.9999330196256917,2
In what country is Tadami Line?,1,1,17,q,q,11.766461524309364,0.9999922395426202,2
What is John Scurti's occupation?,1,1,17,q,q,2.7553904730965924,0.9402170625614422,3
What genre is Quenta Silmarillion?,1,1,17,q,q,10.540046579565882,0.9999735452024621,0
What is the capital of Sergipe?,1,1,17,q,q,12.307278073498514,0.9999954812836248,2
Who is the father of Ariarathes VI of Cappadocia?,1,1,17,q,q,-1.5059873658397587,0.1815342268396146,4
What genre is General Hospital?,1,1,17,q,q,3.4248862952345744,0.9684733057104004,1
Who is the father of Moses?,1,1,17,q,q,9.22782819369417,0.9999017432350652,2
What sport does Kaisa Varis play?,1,1,17,q,q,-2.809984309168607,0.05678702123926321,3
What is the capital of Orotina Canton?,1,1,17,q,q,5.599744504478586,0.9963148221428361,1
Who was the composer of It's Going to Take Some Time?,1,1,17,q,q,-1.6186032307358138,0.16539759183352845,4
What is the capital of France?,1,1,17,q,q,7.924044127657806,0.9996381953012079,4
What is the religion of Dinesh D'Souza?,1,1,17,q,q,-0.9326747028366973,0.28238239049095853,0
Who was the producer of Precious?,1,1,17,q,q,3.9639639674707077,0.9813661162638235,2
Who was the director of Scary Movie 3?,1,1,17,q,q,4.949434251622884,0.9929624604906353,3
What genre is Banjo-Kazooie?,1,1,17,q,q,8.811126156981533,0.9998509569266878,4
What is the capital of Iowa?,1,1,17,q,q,6.707450495572745,0.9987797158345889,1
Who was the composer of Balika Badhu?,1,1,17,q,q,-3.6247465832758605,0.025963765247758546,3
In what country is Sabana de la Mar?,1,1,17,q,q,10.17175794345648,0.9999617664126159,1
In what country is Hawi?,1,1,17,q,q,1.1469288742142576,0.758949516292083,0
What is the capital of Uruguay?,1,1,17,q,q,9.300148171258254,0.9999085976691114,0
What is the capital of Gabon?,1,1,17,q,q,8.176375871317921,0.9997188597916731,1
Who was the composer of The Prestige?,1,1,17,q,q,-0.5728421341569967,0.36058127620578345,0
In what city was Dawson Turner born?,1,1,17,q,q,-4.068989854921329,0.016807332433726882,0
What is the capital of Aruba?,1,1,17,q,q,9.723665766099504,0.9999401533807442,2
What is the capital of Guinea?,1,1,17,q,q,10.466008311667474,0.9999715122617414,3
What is Dean Alfange's occupation?,1,1,17,q,q,-0.762648095730361,0.31807161227572733,0
Who is the author of Success is Counted Sweetest?,1,1,17,q,q,4.70088534327542,0.9909946058490741,2
What sport does Friedhelm Konietzka play?,1,1,17,q,q,6.626993300643173,0.9986776126310818,2
What sport does Diego Polenta play?,1,1,17,q,q,2.816635148236984,0.9435681643983947,0
Who is the father of Talia Balsam?,1,1,17,q,q,11.123513933432445,0.9999852390989578,1
In what country is Ferrari?,1,1,17,q,q,13.558307653781402,0.9999987066941549,1
Who was the producer of Back to the Future?,1,1,17,q,q,-6.776107155406737,0.0011394071312559454,3
Who was the screenwriter for Our Town?,1,1,17,q,q,5.548713046597188,0.9961226290840516,4
What sport does Bryce Harper play?,1,1,17,q,q,8.260695814685114,0.9997415877190684,0
Who is the father of Beau Biden?,1,1,17,q,q,7.648200879026435,0.9995233259655959,2
What color is Exeter City F.C.?,1,1,17,q,q,5.491194660594348,0.9958940128929299,4
"Who was the director of South Park: Bigger, Longer & Uncut?",1,1,17,q,q,7.9030438431500505,0.9996305197950827,2
In what country is Varany Maha Vidyalayam?,1,1,17,q,q,0.3487093822049998,0.586304572516476,3
Who is the author of Ross O'Carroll-Kelly?,1,1,17,q,q,7.625158862814213,0.9995122203356164,3
Who was the screenwriter for Star Trek: First Contact?,1,1,17,q,q,1.03338239630323,0.7375711182249929,1
Who was the screenwriter for The Bourne Legacy?,1,1,17,q,q,1.3324793600249374,0.791250454275731,1
What sport does Grantham Town F.C. play?,1,1,17,q,q,8.532528890649434,0.9998030825253726,0
What genre is The Rolling Stones?,1,1,17,q,q,5.511864165443996,0.9959776726621106,0
In what country is Cambridge?,1,1,17,q,q,0.22967398982773224,0.5571674189936334,2
Who is the author of Moneyball?,1,1,17,q,q,11.888896967386005,0.9999931338281464,1
What is Stockholm the capital of?,1,1,17,q,q,5.206051274975613,0.9945466194569814,1
In what country is Macedonian Academy of Sciences and Arts?,1,1,17,q,q,12.5173366624714,0.999996337411152,0
What genre is Synyster Gates?,1,1,17,q,q,4.5711481882270535,0.9897598714687891,3
Who is the author of The Clouds?,1,1,17,q,q,14.224217524393723,0.9999993354915143,0
What is William Molyneux's occupation?,1,1,17,q,q,3.906986238823847,0.9802950985670644,3
Who is the mother of Sean Penn?,1,1,17,q,q,5.946906215238844,0.9973928998261494,4
Who is the father of Griffin O'Neal?,1,1,17,q,q,8.728159327617291,0.9998380659290159,1
What genre is Claude Lorrain?,1,1,17,q,q,7.33524448963552,0.9993482805770263,1
What is the capital of Nan?,1,1,17,q,q,-6.374011191203924,0.0017024020680968745,4
What is the capital of Armenia?,1,1,17,q,q,9.623245414075841,0.9999338318669244,3
What is Rhea Silvia's occupation?,1,1,17,q,q,-1.7085389648839273,0.15335331477229594,4
Who was the producer of The Terminal?,1,1,17,q,q,-3.607263131265138,0.026409599219150686,2
What genre is Suikoden Tierkreis?,1,1,17,q,q,0.1631544331806798,0.5406983679169266,3
In what country is Joint European Torus?,1,1,17,q,q,5.192749943953664,0.9944740011886327,2
What is Seif Sharif Hamad's occupation?,1,1,17,q,q,-1.9574604936404825,0.12374214329960921,0
Who was the producer of Particle Fever?,1,1,17,q,q,3.7010189744022464,0.9758969586110982,0
Who is the father of James I of Aragon?,1,1,17,q,q,1.586698397725541,0.8301510835867085,4
In what country is New York State Route 157?,1,1,17,q,q,6.502282111428925,0.9985022345770249,1
In what country is Canadian Dairy Commission?,1,1,17,q,q,7.365312950642662,0.9993675728853918,1
Who is the author of Make Love! The Bruce Campbell Way?,1,1,17,q,q,3.9890438240167225,0.9818192488890785,0
Who was the producer of Chef?,1,1,17,q,q,-8.217972764473293,0.0002696886292409588,2
What is the capital of Tunisia?,1,1,17,q,q,9.494406038558218,0.999924733943934,2
Who is the author of The Confidential Clerk?,1,1,17,q,q,-0.044992464094681495,0.4887537810761932,4
What color is snow?,1,1,17,q,q,11.256771220584554,0.9999870806470228,0
What is the capital of Silla?,1,1,17,q,q,9.658949162218903,0.9999361524924177,1
In what country is Wiang Kao?,1,1,17,q,q,6.6184035307667335,0.9986662199179657,1
Who is the father of Donald Trump?,1,1,17,q,q,13.453414791676256,0.999998563665575,1
In what city was Benny Napoleon born?,1,1,17,q,q,2.3898544074618377,0.9160503724105015,4
What is the capital of Connecticut?,1,1,17,q,q,9.240174124505742,0.9999029487317554,2
Who is the author of Our Lady of the Flowers?,1,1,17,q,q,10.71970162611692,0.9999778953757884,2
What is the capital of Azerbaijan?,1,1,17,q,q,9.522060643012214,0.9999267867292451,1
Who was the director of Alien?,1,1,17,q,q,8.226287089173114,0.9997325437566283,2
Who is the author of The Incoherence of the Philosophers?,1,1,17,q,q,9.090565267708755,0.9998872883742566,1
What is the capital of Bangladesh?,1,1,17,q,q,10.773089220429886,0.9999790445159243,1
In what city was Alma Karlin born?,1,1,17,q,q,2.9007632345929144,0.9478841534376613,3
What is Stevie Cameron's occupation?,1,1,17,q,q,10.006867345274111,0.9999549128120829,2
What genre is S.H.E?,1,1,17,q,q,2.8239568889027056,0.943956763414024,3
Who is the author of Tuesday?,1,1,17,q,q,-6.940454492463575,0.0009668938374151985,2
Who is the author of Ship Breaker?,1,1,17,q,q,8.891577919675361,0.9998624764596097,1
What is the capital of Plesetsky District?,1,1,17,q,q,5.697471198753218,0.9966567771852368,3
What sport does George Burley play?,1,1,17,q,q,0.2210015787357813,0.5550266106960279,1
Who is the author of The Jungle?,1,1,17,q,q,14.842558739338038,0.9999996419377909,4
Who was the screenwriter for Brian Wilson: I Just Wasn't Made for These Times?,1,1,17,q,q,-8.80169639112858,0.000150454949508881,1
What is the capital of Papua New Guinea?,1,1,17,q,q,8.48470372824707,0.9997934380749847,4
Who is the author of Thunderball?,1,1,17,q,q,8.685193544517244,0.999830957872834,4
In what country is Toronto Northwest?,1,1,17,q,q,-1.676781456874469,0.15752212755986378,4
In what country is Sircilla?,1,1,17,q,q,12.902582125120624,0.9999975083978403,4
Who is the father of Princess Senate Seeiso?,1,1,17,q,q,-2.0621658589882186,0.11282884897011401,0
What sport does Deportivo Cali play?,1,1,17,q,q,5.390569547653388,0.9954613177438045,1
What is the capital of Israel?,1,1,17,q,q,12.804075375138755,0.9999972504632766,0
What sport does HSV Hamburg play?,1,1,17,q,q,-5.191698630638182,0.005531779268320147,4
Who was the composer of Petrushka chord?,1,1,17,q,q,-1.6066662760653976,0.16705197189098558,3
In what country is Husainid Dynasty?,1,1,17,q,q,10.400532451702144,0.9999695846416281,4
What sport does face mask play?,1,1,17,q,q,-1.3796703101759618,0.2010619546004019,4
What sport does Warrenpoint Town F.C. play?,1,1,17,q,q,9.191195758222342,0.9998980774845622,1
Who is the mother of Parikshit?,1,1,17,q,q,12.891221564476648,0.9999974799305179,0
In what city was Andries Bonger born?,1,1,17,q,q,3.285219147161543,0.9639182450054607,2
Who was the director of Breaking Bad?,1,1,17,q,q,-0.11257965268085735,0.4718847753396801,3
What sport does Carlaw Park play?,1,1,17,q,q,-2.4402363105134883,0.08015548713168655,4
Who was the director of The Black Tent?,1,1,17,q,q,2.020497315971438,0.8829324228654714,0
Who is the author of Tom Sawyer Abroad?,1,1,17,q,q,4.891957819420775,0.9925492195640279,3
Who was the composer of Dragonball Evolution?,1,1,17,q,q,-3.1828030329416963,0.03981802850340097,1
Who is the father of George W. Bush?,1,1,17,q,q,8.906998222285457,0.9998645805623961,3
Who was the producer of Freddie Foxxx Is Here?,1,1,17,q,q,0.330234946316738,0.5818165418015334,1
Who is the author of NW?,1,1,17,q,q,6.504634242230755,0.9985057481192751,0
What is the capital of Qasr-e Shirin County?,1,1,17,q,q,2.7233015666880007,0.9383876943792915,1
What is the capital of Larnaca District?,1,1,17,q,q,4.022172736724011,0.982401263549971,2
In what country is Bundesautobahn 100?,1,1,17,q,q,6.970847632081384,0.9990620238618879,2
Who was the screenwriter for The Blackcoat's Daughter?,1,1,17,q,q,0.37213092287332805,0.5919737839989195,2
In what country is American Booksellers Association?,1,1,17,q,q,9.391956701886345,0.9999166148306984,4
What genre is Prince Lasha?,1,1,17,q,q,4.648353365465404,0.990513496290838,2
Who is the father of Abraham Lincoln?,1,1,17,q,q,7.358463624608544,0.999363229085121,3
Who was the director of The Stranger?,1,1,17,q,q,-5.862175472468,0.0028369762900215473,0
Who is the author of Blue Latitudes?,1,1,17,q,q,8.859196031295031,0.9998579509433193,0
What is the capital of Ohio?,1,1,17,q,q,7.343387524664427,0.999353562585513,2
Who is the author of The Dining Room?,1,1,17,q,q,1.5990959231599544,0.8318919899951245,3
Who is the father of Vira Someshwara?,1,1,17,q,q,-9.267838210056235,9.440348029196157e-05,3
In what country is Gmina Dziadkowice?,1,1,17,q,q,9.690375887225008,0.9999381276868251,0
What is the religion of Hillsdale Free Will Baptist College?,1,1,17,q,q,-4.754343005727431,0.00854063158774009,2
What is the capital of Massac County?,1,1,17,q,q,-2.674137602263369,0.06451679577372088,2
Who was the director of Voyage to the Planet of Prehistoric Women?,1,1,17,q,q,-1.6883063462323529,0.15599870194404483,4
Who is the author of The Camp of the Saints?,1,1,17,q,q,5.859537448855005,0.9971555511353403,4
What genre is Ultima Online: Samurai Empire?,1,1,17,q,q,3.087286005554377,0.9563652481660694,3
In what city was Constantine of Kostenets born?,1,1,17,q,q,-0.8081721713011378,0.3082801316238456,2
Who is the father of Thor?,1,1,17,q,q,2.9828401525674995,0.9517928539595046,1
What is G. Karunakara Reddy's occupation?,1,1,17,q,q,-3.4995570794105237,0.029324835809127904,2
In what country is British American Tobacco?,1,1,17,q,q,7.345428666007271,0.9993548798595998,4
Who was the producer of The Chronic?,1,1,17,q,q,7.08819492051406,0.9991657934089994,1
In what country is Tigra?,1,1,17,q,q,1.0709084260797386,0.7447696349589806,0
What genre is Doorways in the Sand?,1,1,17,q,q,-0.9562934466719488,0.2776209219979104,4
What genre is Michel Langevin?,1,1,17,q,q,2.550868323433533,0.9276318277255037,1
Who is the author of Poil de carotte?,1,1,17,q,q,2.8088109131507246,0.9431500963277772,1
Who is the author of Kim?,1,1,17,q,q,10.016634766125208,0.9999553510343252,3
What is the capital of Palestinian territories?,1,1,17,q,q,9.01690043143265,0.9998786730712872,0
Who is the author of Why I Write?,1,1,17,q,q,8.182480505888098,0.9997205703438743,4
What is the capital of American Samoa?,1,1,17,q,q,6.487179944081214,0.9984794780625823,4
What is the religion of Thomas Cooray?,0,1,17,q,q,1.5994657526918203,0.8319437034590494,4
What is the capital of Nyandeni Local Municipality?,0,1,17,q,q,8.478175441108604,0.999792085449438,2
Who is the author of Fail-Safe Investing?,0,1,17,q,q,-2.3854598471032675,0.08428819693649113,3
Who was the screenwriter for The Duellists?,0,1,17,q,q,2.2119192116109847,0.90131476542761,0
Who is the author of Millennial Rites?,0,1,17,q,q,-2.694087560137535,0.06332313838992049,3
In what city was Cloe Elmo born?,0,1,17,q,q,-2.4357144726604245,0.08048951846083138,3
In what city was Ed Parker Jr. born?,0,1,17,q,q,-2.342310823504752,0.08767889283562255,2
In what city was Angela Leong born?,0,1,17,q,q,1.6408946621119138,0.8376566374823365,1
Who was the composer of La permission de dix heures?,0,1,17,q,q,-9.94874450319684,4.778530991528733e-05,2
Who was the producer of Rain Dogs?,0,1,17,q,q,-4.296270126983292,0.013436270420298331,2
In what city was Pete Stewart born?,0,1,17,q,q,-12.132200913037602,5.383314494914184e-06,2
Who was the director of Disney's The Kid?,0,1,17,q,q,-0.09532739335592444,0.4761861825625854,0
What is Bill Kintner's occupation?,0,1,17,q,q,-1.46158132205295,0.18822558526862057,3
What is Mariana Vicente's occupation?,0,1,17,q,q,-4.153915516658534,0.015460045163740678,4
In what country is Mon?,0,1,17,q,q,4.625084945154287,0.9902923401660821,3
What is Jay the capital of?,0,1,17,q,q,-6.336933848675488,0.0017665937796905859,4
Who was the composer of Saturday Night?,0,1,17,q,q,-8.879948618078027,0.00013913195484558852,2
Who was the director of Postal?,0,1,17,q,q,-9.821767229644264,5.425467002784302e-05,3
Who was the director of Hoot?,0,1,17,q,q,3.2739135793023797,0.9635229699642975,2
Who is the author of Keeping the Moon?,0,1,17,q,q,0.5325262729621705,0.6300721320405586,4
Who was the director of Fix?,0,1,17,q,q,-10.923512895856598,1.8028965031347128e-05,3
What genre is Alexander Beggrov?,0,1,17,q,q,-1.9936301706629194,0.11987333714303143,1
Who was the director of Free and Easy?,0,1,17,q,q,-7.427339295026487,0.0005944143718314328,2
Who was the producer of Smoke?,0,1,17,q,q,-5.791975065786178,0.00304266237232265,0
Who is the author of Roma?,0,1,17,q,q,-1.3996239233005117,0.1978757959160251,4
What sport does Bennie Osler play?,0,1,17,q,q,-6.704184133512097,0.0012242716842949212,1
Who was the director of Hari-Bhari?,0,1,17,q,q,-0.5508063863912083,0.36567734142736824,3
Who was the director of Burning Man?,0,1,17,q,q,4.2279679947772015,0.9856275872493641,2
In what city was Alexandros Matsas born?,0,1,17,q,q,-3.5072715747687724,0.02910603908946123,0
Who is the author of Le Ton beau de Marot?,0,1,17,q,q,0.18614946512185582,0.5464034473713586,2
Who is the father of Adad?,0,1,17,q,q,-0.24123018963877718,0.4399832121413213,2
In what city was William Osler born?,0,1,17,q,q,5.03021582177243,0.9935050605090768,0
What sport does Algiers Derby play?,0,1,17,q,q,6.081173993704987,0.9977197196381803,2
Who is the author of GNU Affero General Public License?,0,1,17,q,q,7.348732328464955,0.9993570062340563,4
Who was the screenwriter for Return of the Fly?,0,1,17,q,q,3.324223384947362,0.9652505306982947,2
"Who is the father of Frederick IV, Elector Palatine?",0,1,17,q,q,3.7468656047307487,0.9769521594558651,0
Who was the director of Time Limit?,0,1,17,q,q,-2.659123190848171,0.06542892811216937,0
In what city was John Keating born?,0,1,17,q,q,-6.698251247182282,0.0012315477664724798,4
Who is the author of Showdown?,0,1,17,q,q,-4.930419858095184,0.007171665503066192,0
In what city was Hittman born?,0,1,17,q,q,-6.24732042377389,0.0019318944315870532,3
Who is the author of Checkers?,0,1,17,q,q,-3.1820832583964505,0.03984555643874335,0
Who was the composer of Imagine This?,0,1,17,q,q,-7.658167978571751,0.00047194880663442313,0
What genre is Raavan?,0,1,17,q,q,4.747475171394761,0.9914010170037467,0
Who was the producer of The Fighter?,0,1,17,q,q,6.298788013383778,0.9981648422925536,4
"What is Sir Thomas Clarges, 3rd Baronet's occupation?",0,1,17,q,q,1.0506104164851828,0.7408920986731781,0
What is the capital of Golden Valley County?,0,1,17,q,q,2.7495182362202755,0.9398861358498585,0
What genre is Foreign Legion?,0,1,17,q,q,1.9480239910680675,0.8752310182580855,3
Who was the producer of The Lost Bridegroom?,0,1,17,q,q,-12.639972026244807,3.239876759331563e-06,1
Who was the producer of Still Alive and Well?,0,1,17,q,q,-6.143628643377165,0.0021425180989324715,3
What is the religion of Milica Hrebeljanović?,0,1,17,q,q,1.6468393659632092,0.8384634240275763,4
What is the religion of Muscat and Oman?,0,1,17,q,q,11.290778314008243,0.9999875126047384,3
Who is the father of Sun He?,0,1,17,q,q,-3.547035264900244,0.028003158028690564,2
Who was the producer of Friday the 13th Part 2?,0,1,17,q,q,0.5157080315546614,0.6261436141048885,0
Who was the composer of Sleep?,0,1,17,q,q,-8.53959299055115,0.00019553160263956884,0
Who was the producer of The Guilty?,0,1,17,q,q,2.9723330284629244,0.9513084583121678,3
Who is the author of Riders in the Chariot?,0,1,17,q,q,-2.2260306421367,0.09743716150027623,0
Who is the author of Obsessed?,0,1,17,q,q,2.013503356382255,0.8822075695448506,3
Who is the father of Hooge?,0,1,17,q,q,-8.164791183745724,0.0002844151363697011,0
Who was the director of My Family?,0,1,17,q,q,1.0684280204617982,0.7442978538583364,0
What is Jack Mackenzie's occupation?,0,1,17,q,q,-6.283835291979432,0.0018627529924668364,0
Who was the producer of Paid?,0,1,17,q,q,-9.499644310015006,7.487285230568806e-05,2
Who was the screenwriter for The Purchase Price?,0,1,17,q,q,-1.3234593241777688,0.21024332783607363,1
Who is the author of Find Me?,0,1,17,q,q,-0.9815814605227062,0.27257810005231187,2
Who was the composer of Troy?,0,1,17,q,q,0.03858089408251297,0.5096440273008271,0
Who is the author of Mary Marston?,0,1,17,q,q,-3.9385487052122814,0.01910437473284923,4
Who is the father of Sisowath of Cambodia?,0,1,17,q,q,6.918673940647408,0.9990118367020032,3
Who was the director of Green Tea?,0,1,17,q,q,-5.4652456419989015,0.004213473058979291,0
Who was the producer of 2001?,0,1,17,q,q,-3.0485025265255903,0.04528216773262768,2
In what city was Mikael Eriksson born?,0,1,17,q,q,-5.203463621317344,0.005467433023302272,0
Who was the director of Late Last Night?,0,1,17,q,q,-10.431369810223796,2.9491770417699426e-05,0
Who is the mother of Christiane Sehested?,0,1,17,q,q,-2.325153834160502,0.08906104650780945,0
In what city was Steve McDonald born?,0,1,17,q,q,-8.972681012071085,0.00012681162609239446,3
Who is the author of Saints of Big Harbour?,0,1,17,q,q,-6.381265081647662,0.001690118507007004,2
What is Thomas McMurtry's occupation?,0,1,17,q,q,3.971979748081703,0.9815121339407108,0
Who was the composer of Ariane et Barbe-bleue?,0,1,17,q,q,-0.39671837558405354,0.40210104013434744,4
Who is the author of Lucky?,0,1,17,q,q,2.129002277813979,0.8936902539781675,0
Who was the composer of Never Forget?,0,1,17,q,q,-12.57151435539371,3.4694383883635322e-06,0
Who was the composer of Apache?,0,1,17,q,q,-2.112908407253264,0.10784850860391282,0
Who was the director of The Gamesters of Triskelion?,0,1,17,q,q,-0.14732529958342955,0.46323514870148447,0
Who was the producer of Drift?,0,1,17,q,q,-13.400683575167156,1.51410645864553e-06,1
