mode,qid,n_tok,cut
cq,Who is the author of The Trumpet-Major?,171,0
cq,Who is the father of Louis X of France?,164,0
cq,In what country is KV Svalbard?,146,0
cq,What is the capital of Guadeloupe?,155,0
cq,Who was the screenwriter for Lars and the Real Girl?,153,0
cq,What sport does 2010 Veikkausliiga play?,202,0
cq,In what city was Moses the Black born?,142,0
cq,Who was the producer of Afghan Massacre: The Convoy of Death?,166,0
cq,In what city was Giuseppe Bezzuoli born?,195,0
cq,Who is the mother of Lulach?,204,0
cq,What sport does Slower ball play?,136,0
cq,What is the religion of Marjorie Cameron?,160,0
cq,Who was the composer of Toy Story?,145,0
cq,In what city was Cornelis Springer born?,170,0
cq,What genre is Ministry?,150,0
cq,What genre is Joe Abercrombie?,149,0
cq,What genre is Shaft?,143,0
cq,In what country is Monti della Tolfa?,162,0
cq,Who is the author of Gin Tama?,174,0
cq,What genre is Frifot?,166,0
cq,Who was the screenwriter for Absentia?,154,0
cq,What is Perth the capital of?,140,0
cq,Who was the screenwriter for The Circus?,205,0
cq,What is the capital of Likouala Department?,186,0
cq,In what country is BBC?,132,0
cq,What is the capital of Laos?,151,0
cq,What genre is Sabotage?,151,0
cq,What is the capital of Rabun County?,152,0
cq,Who was the composer of The Mission?,149,0
cq,What is Stari Ras the capital of?,148,0
cq,What genre is The Buckaroos?,164,0
cq,What sport does Richard Varga play?,163,0
cq,In what country is Lutsk?,153,0
cq,In what country is Buckskin Mountain State Park?,139,0
cq,In what country is Post Carbon Institute?,147,0
cq,What is the capital of Montenegro?,144,0
cq,What sport does FC Dynamo Brest play?,157,0
cq,What is the capital of Maryland?,137,0
cq,Who was the screenwriter for 300?,150,0
cq,Who was the screenwriter for Trance?,153,0
cq,Who was the director of Island of Doomed Men?,157,0
cq,Who was the composer of The Washington Post?,153,0
cq,Who is the author of Stack Overflow?,139,0
cq,Who was the screenwriter for I Wish?,141,0
cq,What genre is Coral Records?,153,0
cq,In what country is Dragomirna River?,144,0
cq,What color is fire engine?,124,0
cq,"In what country is Amesbury, Toronto?",149,0
cq,In what country is Abdul Mannan Bhuiyan Stadium?,202,0
cq,Who was the director of Brotherhood of the Wolf?,163,0
cq,Who is the father of Umm Kulthum bint Ali ibn Abi Talib?,202,0
cq,In what city was Valdemar III of Denmark born?,180,0
cq,"Who was the composer of I Can't Give You Anything but Love, Baby?",163,0
cq,What is the religion of Saint Patrick?,137,0
cq,What is the capital of Cook Islands?,149,0
cq,What is Manila the capital of?,164,0
cq,What is the capital of Tindouf Province?,153,0
cq,What is the capital of Turkey?,136,0
cq,Who is the father of Hera?,152,0
cq,Who is the father of Tammam Salam?,149,0
cq,Who was the screenwriter for Fever Pitch?,163,0
cq,What is the capital of Province of Florence?,157,0
cq,What sport does earned run average play?,152,0
cq,What is the capital of French Guiana?,153,0
cq,What is the capital of Bhutan?,157,0
cq,What sport does Stadio Brianteo play?,172,0
cq,What is the capital of Albania?,143,0
cq,What is the capital of Lesotho?,162,0
cq,In what country is Rockcastle River?,141,0
cq,Who was the screenwriter for From Beyond?,174,0
cq,What is the capital of Bosnia and Herzegovina?,171,0
cq,What sport does Bedworth United F.C. play?,154,0
cq,In what city was Hendrik Gerritsz Pot born?,167,0
cq,In what country is Marvejols?,158,0
cq,What is the capital of Morris County?,163,0
cq,What is the capital of Nidwalden?,172,0
cq,What is Robert Gwilym's occupation?,184,0
cq,Who was the director of Imagine That?,153,0
cq,Who was the director of The Sugarland Express?,154,0
cq,Who is the author of Christopher and His Kind?,162,0
cq,What genre is Buono! 2?,206,0
cq,What is the religion of Samuel Johnson?,167,0
cq,What genre is Xenogears?,167,0
cq,Who was the director of Grease?,153,0
cq,What genre is Peggle 2?,170,0
cq,What is the religion of Kingdom of England?,143,0
cq,Who is the author of The Little Prince?,142,0
cq,Who is the father of King Arthur?,151,0
cq,Who was the producer of Amistad?,176,0
cq,Who is the author of Gor?,150,0
cq,In what country is Old Persian?,156,0
cq,What is the capital of South Sudan?,142,0
cq,In what country is Wynau?,156,0
cq,What is the capital of Nunavut?,201,0
cq,What is the capital of Riley County?,150,0
cq,In what country is Velventos?,170,0
cq,Who is the author of How to Be Both?,154,0
cq,What is the capital of Tang Empire?,140,0
cq,Who was the composer of The Nose?,167,0
cq,In what country is Severna Park?,157,0
cq,What is the capital of North Carolina?,150,0
cq,Who is the father of Wayne Gretzky?,148,0
cq,Who was the composer of Anything Goes?,145,0
cq,Who was the composer of Soul Eyes?,165,0
cq,Who was the producer of The Slim Shady LP?,165,0
cq,Who was the director of The Man Trap?,158,0
cq,Who was the producer of Crash?,161,0
cq,Who is the father of Arjuna?,174,0
cq,What genre is Prince?,159,0
cq,Who is the father of Archduchess Assunta of Austria?,162,0
cq,What is the capital of Mauritania?,143,0
cq,Who is the father of Li Xian?,176,0
cq,What is the capital of European Union?,150,0
cq,What sport does Olympique Lyonnais Féminin play?,172,0
cq,In what country is Katmai National Park and Preserve?,130,0
cq,Who is the mother of Jesus?,159,0
cq,What is the capital of Tokugawa Shogunate?,179,0
cq,Who was the director of Errand of Mercy?,158,0
cq,What is Lisa McRee's occupation?,162,0
cq,Who was the director of The Sting?,154,0
cq,What is Budapest the capital of?,154,0
cq,What is Ski Beatz's occupation?,153,0
cq,What sport does Dorus de Vries play?,145,0
cq,What is the religion of bhikkhu?,210,0
cq,"Who is the father of Mary, Princess Royal and Countess of Harewood?",161,0
cq,Who was the producer of Titanic?,152,0
cq,Who was the director of The Omen?,145,0
cq,Who was the screenwriter for The Joy Luck Club?,158,0
cq,Who is the author of GNU General Public License?,137,0
cq,In what country is The Players Championship?,176,0
cq,Who is the author of Black Orchids?,171,0
cq,What is the capital of Confederate States of America?,146,0
cq,What sport does 2006–07 Primera B Nacional play?,170,0
cq,Who was the screenwriter for Stereo?,168,0
cq,Who is the author of Natalka Poltavka?,186,0
cq,What sport does Tranmere Rovers F.C. play?,155,0
cq,Who was the screenwriter for Wolf?,140,0
cq,What genre is Super Mario World?,152,0
cq,Who was the screenwriter for Witness for the Prosecution?,152,0
cq,Who is the father of Macrianus Minor?,187,0
cq,What sport does Ligue Magnus play?,155,0
cq,What is Dick Rude's occupation?,155,0
cq,In what country is Deodara?,295,0
cq,Who was the director of Madea Gets a Job?,150,0
cq,Who is the father of Tiger Woods?,141,0
cq,In what country is Kuujjuarapik?,196,0
cq,Who is the author of New Mutants?,158,0
cq,In what country is Lugano Airport?,153,0
cq,In what country is Sinaloa Cartel?,175,0
cq,Who is the father of William III of the Netherlands?,169,0
cq,In what country is Chrysler?,150,0
cq,Who is the author of Jumper?,140,0
cq,Who was the director of The Designated Mourner?,153,0
cq,What is Andy C's occupation?,155,0
cq,What is the capital of Russia?,133,0
cq,In what country is Bouvet Island?,141,0
cq,What sport does Corby Town F.C. play?,166,0
cq,In what country is Revigliasco d'Asti?,190,0
cq,Who was the screenwriter for Les Bonnes Femmes?,140,0
cq,What is the capital of Uzbekistan?,170,0
cq,In what country is Asiana Airlines?,153,0
cq,What is the capital of Obwalden?,179,0
cq,In what country is Kanjiroba Himal?,163,0
cq,Who was the director of Green Hell?,149,0
cq,Who is the father of Randolph Churchill?,148,0
cq,In what country is Kireyevsky District?,195,0
cq,What is Benazir Bhutto's occupation?,173,0
cq,Who was the director of Alphaville?,176,0
cq,What is Firaq Gorakhpuri's occupation?,178,0
cq,Who was the screenwriter for Tanu Weds Manu?,152,0
cq,Who was the composer of Samson?,172,0
cq,Who is the author of Couples?,153,0
cq,Who was the producer of Xxplosive?,184,0
cq,Who was the composer of Shaft?,153,0
cq,Who was the producer of No Entry?,164,0
cq,Who is the mother of Todd McCaffrey?,170,0
cq,What genre is Death of an Expert Witness?,139,0
cq,What sport does 1994–95 FIBA Women's European Champions Cup play?,181,0
cq,What genre is Johann Sebastian Bach?,164,0
cq,In what city was Ted Williams born?,155,0
cq,What sport does St. Louis Cardinals play?,136,0
cq,What is the capital of Portugal?,154,0
cq,What is Kanye West's occupation?,199,0
cq,Who is the author of A Marriage Proposal?,176,0
cq,What color is Juventus F.C.?,155,0
cq,Who is the author of When I have Fears that I may Cease to Be?,183,0
cq,What is Cardiff the capital of?,135,0
cq,Who was the screenwriter for Brave?,185,0
cq,Who is the author of Same-Sex Unions in Pre-Modern Europe?,160,0
cq,What color is chalk?,144,0
cq,What is the capital of French Polynesia?,190,0
cq,What is the capital of Vanuatu?,149,0
cq,What is the capital of El Salvador?,139,0
cq,Who was the producer of Open Season?,147,0
cq,Who is the author of Molly Moon Stops the World?,150,0
cq,Who is the author of Libra?,147,0
cq,Who is the father of Ramkarpal Singh?,181,0
cq,What is the religion of saint?,155,0
cq,Who is the author of The Stud?,146,0
cq,What genre is Big Business?,146,0
cq,In what country is Volvic?,150,0
cq,In what country is Pindus?,150,0
cq,"Who is the author of The Quest: Energy, Security, and the Remaking of the Modern World?",156,0
cq,What is the capital of Nauru?,173,0
cq,What is the capital of Kingdom of the Netherlands?,147,0
cq,What is William Lescaze's occupation?,177,0
cq,In what city was Babyface born?,168,0
cq,In what city was Jean Arp born?,166,0
cq,What is the capital of Afghanistan?,145,0
cq,Who was the director of Mud?,161,0
cq,What is Nigel Sheinwald's occupation?,160,0
cq,Who was the screenwriter for Toy Story?,157,0
cq,Who is the author of The Neverending Story?,155,0
cq,What genre is Southern Rock Opera?,153,0
cq,What is Rodez the capital of?,160,0
cq,What is the capital of Wales?,142,0
cq,In what country is Tadami Line?,168,0
cq,What is John Scurti's occupation?,162,0
cq,What genre is Quenta Silmarillion?,159,0
cq,What is the capital of Sergipe?,150,0
cq,Who is the father of Ariarathes VI of Cappadocia?,214,0
cq,What genre is General Hospital?,151,0
cq,Who is the father of Moses?,154,0
cq,What sport does Kaisa Varis play?,155,0
cq,What is the capital of Orotina Canton?,147,0
cq,Who was the composer of It's Going to Take Some Time?,154,0
cq,What is the capital of France?,149,0
cq,What is the religion of Dinesh D'Souza?,177,0
cq,Who was the producer of Precious?,164,0
cq,Who was the director of Scary Movie 3?,155,0
cq,What genre is Banjo-Kazooie?,182,0
cq,What is the capital of Iowa?,146,0
cq,Who was the composer of Balika Badhu?,195,0
cq,In what country is Sabana de la Mar?,154,0
cq,In what country is Hawi?,152,0
cq,What is the capital of Uruguay?,148,0
cq,What is the capital of Gabon?,153,0
cq,Who was the composer of The Prestige?,178,0
cq,In what city was Dawson Turner born?,161,0
cq,What is the capital of Aruba?,154,0
cq,What is the capital of Guinea?,167,0
cq,What is Dean Alfange's occupation?,145,0
cq,Who is the author of Success is Counted Sweetest?,144,0
cq,What sport does Friedhelm Konietzka play?,186,0
cq,What sport does Diego Polenta play?,149,0
cq,Who is the father of Talia Balsam?,170,0
cq,In what country is Ferrari?,135,0
cq,Who was the producer of Back to the Future?,155,0
cq,Who was the screenwriter for Our Town?,148,0
cq,What sport does Bryce Harper play?,149,0
cq,Who is the father of Beau Biden?,139,0
cq,What color is Exeter City F.C.?,155,0
cq,"Who was the director of South Park: Bigger, Longer & Uncut?",161,0
cq,In what country is Varany Maha Vidyalayam?,182,0
cq,Who is the author of Ross O'Carroll-Kelly?,174,0
cq,Who was the screenwriter for Star Trek: First Contact?,153,0
cq,Who was the screenwriter for The Bourne Legacy?,156,0
cq,What sport does Grantham Town F.C. play?,167,0
cq,What genre is The Rolling Stones?,157,0
cq,In what country is Cambridge?,148,0
cq,Who is the author of Moneyball?,150,0
cq,What is Stockholm the capital of?,148,0
cq,In what country is Macedonian Academy of Sciences and Arts?,136,0
cq,What genre is Synyster Gates?,161,0
cq,Who is the author of The Clouds?,150,0
cq,What is William Molyneux's occupation?,177,0
cq,Who is the mother of Sean Penn?,151,0
cq,Who is the father of Griffin O'Neal?,171,0
cq,What genre is Claude Lorrain?,149,0
cq,What is the capital of Nan?,164,0
cq,What is the capital of Armenia?,137,0
cq,What is Rhea Silvia's occupation?,167,0
cq,Who was the producer of The Terminal?,150,0
cq,What genre is Suikoden Tierkreis?,169,0
cq,In what country is Joint European Torus?,150,0
cq,What is Seif Sharif Hamad's occupation?,187,0
cq,Who was the producer of Particle Fever?,144,0
cq,Who is the father of James I of Aragon?,154,0
cq,In what country is New York State Route 157?,160,0
cq,In what country is Canadian Dairy Commission?,140,0
cq,Who is the author of Make Love! The Bruce Campbell Way?,160,0
cq,Who was the producer of Chef?,157,0
cq,What is the capital of Tunisia?,154,0
cq,Who is the author of The Confidential Clerk?,148,0
cq,What color is snow?,150,0
cq,What is the capital of Silla?,162,0
cq,In what country is Wiang Kao?,185,0
cq,Who is the father of Donald Trump?,166,0
cq,In what city was Benny Napoleon born?,158,0
cq,What is the capital of Connecticut?,152,0
cq,Who is the author of Our Lady of the Flowers?,153,0
cq,What is the capital of Azerbaijan?,151,0
cq,Who was the director of Alien?,159,0
cq,Who is the author of The Incoherence of the Philosophers?,178,0
cq,What is the capital of Bangladesh?,149,0
cq,In what city was Alma Karlin born?,173,0
cq,What is Stevie Cameron's occupation?,157,0
cq,What genre is S.H.E?,167,0
cq,Who is the author of Tuesday?,174,0
cq,Who is the author of Ship Breaker?,139,0
cq,What is the capital of Plesetsky District?,177,0
cq,What sport does George Burley play?,152,0
cq,Who is the author of The Jungle?,166,0
cq,Who was the screenwriter for Brian Wilson: I Just Wasn't Made for These Times?,155,0
cq,What is the capital of Papua New Guinea?,137,0
cq,Who is the author of Thunderball?,160,0
cq,In what country is Toronto Northwest?,139,0
cq,In what country is Sircilla?,156,0
cq,Who is the father of Princess Senate Seeiso?,152,0
cq,What sport does Deportivo Cali play?,172,0
cq,What is the capital of Israel?,146,0
cq,What sport does HSV Hamburg play?,163,0
cq,Who was the composer of Petrushka chord?,172,0
cq,In what country is Husainid Dynasty?,161,0
cq,What sport does face mask play?,133,0
cq,What sport does Warrenpoint Town F.C. play?,167,0
cq,Who is the mother of Parikshit?,159,0
cq,In what city was Andries Bonger born?,154,0
cq,Who was the director of Breaking Bad?,149,0
cq,What sport does Carlaw Park play?,165,0
cq,Who was the director of The Black Tent?,139,0
cq,Who is the author of Tom Sawyer Abroad?,152,0
cq,Who was the composer of Dragonball Evolution?,152,0
cq,Who is the father of George W. Bush?,144,0
cq,Who was the producer of Freddie Foxxx Is Here?,157,0
cq,Who is the author of NW?,146,0
cq,What is the capital of Qasr-e Shirin County?,221,0
cq,What is the capital of Larnaca District?,159,0
cq,In what country is Bundesautobahn 100?,163,0
cq,Who was the screenwriter for The Blackcoat's Daughter?,169,0
cq,In what country is American Booksellers Association?,146,0
cq,What genre is Prince Lasha?,188,0
cq,Who is the father of Abraham Lincoln?,158,0
cq,Who was the director of The Stranger?,140,0
cq,Who is the author of Blue Latitudes?,143,0
cq,What is the capital of Ohio?,136,0
cq,Who is the author of The Dining Room?,147,0
cq,Who is the father of Vira Someshwara?,185,0
cq,In what country is Gmina Dziadkowice?,173,0
cq,What is the religion of Hillsdale Free Will Baptist College?,144,0
cq,What is the capital of Massac County?,152,0
cq,Who was the director of Voyage to the Planet of Prehistoric Women?,160,0
cq,Who is the author of The Camp of the Saints?,155,0
cq,What genre is Ultima Online: Samurai Empire?,160,0
cq,In what city was Constantine of Kostenets born?,167,0
cq,Who is the father of Thor?,152,0
cq,What is G. Karunakara Reddy's occupation?,173,0
cq,In what country is British American Tobacco?,137,0
cq,Who was the producer of The Chronic?,137,0
cq,In what country is Tigra?,136,0
cq,What genre is Doorways in the Sand?,164,0
cq,What genre is Michel Langevin?,154,0
cq,Who is the author of Poil de carotte?,158,0
cq,Who is the author of Kim?,160,0
cq,What is the capital of Palestinian territories?,136,0
cq,Who is the author of Why I Write?,149,0
cq,What is the capital of American Samoa?,164,0
cq,What is the religion of Thomas Cooray?,204,0
cq,What is the capital of Nyandeni Local Municipality?,149,0
cq,Who is the author of Fail-Safe Investing?,144,0
cq,Who was the screenwriter for The Duellists?,170,0
cq,Who is the author of Millennial Rites?,144,0
cq,In what city was Cloe Elmo born?,175,0
cq,In what city was Ed Parker Jr. born?,155,0
cq,In what city was Angela Leong born?,169,0
cq,Who was the composer of La permission de dix heures?,178,0
cq,Who was the producer of Rain Dogs?,162,0
cq,In what city was Pete Stewart born?,150,0
cq,Who was the director of Disney's The Kid?,153,0
cq,What is Bill Kintner's occupation?,166,0
cq,What is Mariana Vicente's occupation?,164,0
cq,In what country is Mon?,173,0
cq,What is Jay the capital of?,150,0
cq,Who was the composer of Saturday Night?,148,0
cq,Who was the director of Postal?,147,0
cq,Who was the director of Hoot?,152,0
cq,Who is the author of Keeping the Moon?,142,0
cq,Who was the director of Fix?,149,0
cq,What genre is Alexander Beggrov?,173,0
cq,Who was the director of Free and Easy?,154,0
cq,Who was the producer of Smoke?,161,0
cq,Who is the author of Roma?,145,0
cq,What sport does Bennie Osler play?,149,0
cq,Who was the director of Hari-Bhari?,170,0
cq,Who was the director of Burning Man?,150,0
cq,In what city was Alexandros Matsas born?,162,0
cq,Who is the author of Le Ton beau de Marot?,151,0
cq,Who is the father of Adad?,172,0
cq,In what city was William Osler born?,142,0
cq,What sport does Algiers Derby play?,142,0
cq,Who is the author of GNU Affero General Public License?,151,0
cq,Who was the screenwriter for Return of the Fly?,150,0
cq,"Who is the father of Frederick IV, Elector Palatine?",187,0
cq,Who was the director of Time Limit?,150,0
cq,In what city was John Keating born?,165,0
cq,Who is the author of Showdown?,166,0
cq,In what city was Hittman born?,164,0
cq,Who is the author of Checkers?,153,0
cq,Who was the composer of Imagine This?,140,0
cq,What genre is Raavan?,168,0
cq,Who was the producer of The Fighter?,160,0
cq,"What is Sir Thomas Clarges, 3rd Baronet's occupation?",192,0
cq,What is the capital of Golden Valley County?,150,0
cq,What genre is Foreign Legion?,154,0
cq,Who was the producer of The Lost Bridegroom?,155,0
cq,Who was the producer of Still Alive and Well?,143,0
cq,What is the religion of Milica Hrebeljanović?,167,0
cq,What is the religion of Muscat and Oman?,162,0
cq,Who is the father of Sun He?,146,0
cq,Who was the producer of Friday the 13th Part 2?,155,0
cq,Who was the composer of Sleep?,163,0
cq,Who was the producer of The Guilty?,149,0
cq,Who is the author of Riders in the Chariot?,142,0
cq,Who is the author of Obsessed?,156,0
cq,Who is the father of Hooge?,166,0
cq,Who was the director of My Family?,149,0
cq,What is Jack Mackenzie's occupation?,158,0
cq,Who was the producer of Paid?,152,0
cq,Who was the screenwriter for The Purchase Price?,149,0
cq,Who is the author of Find Me?,163,0
cq,Who was the composer of Troy?,145,0
cq,Who is the author of Mary Marston?,141,0
cq,Who is the father of Sisowath of Cambodia?,175,0
cq,Who was the director of Green Tea?,160,0
cq,Who was the producer of 2001?,175,0
cq,In what city was Mikael Eriksson born?,174,0
cq,Who was the director of Late Last Night?,147,0
cq,Who is the mother of Christiane Sehested?,179,0
cq,In what city was Steve McDonald born?,168,0
cq,Who is the author of Saints of Big Harbour?,154,0
cq,What is Thomas McMurtry's occupation?,165,0
cq,Who was the composer of Ariane et Barbe-bleue?,193,0
cq,Who is the author of Lucky?,150,0
cq,Who was the composer of Never Forget?,154,0
cq,Who was the composer of Apache?,153,0
cq,Who was the director of The Gamesters of Triskelion?,172,0
cq,Who was the producer of Drift?,141,0
cq,Who is the author of Detective?,140,0
cq,Who was the director of Gotti?,155,0
cq,In what city was Gregorio Selser born?,159,0
cq,Who was the producer of Come and Get It?,153,0
cq,Who is the author of Definitions?,166,0
cq,Who was the composer of Wish You Were Here?,149,0
cq,What genre is The Untold?,152,0
cq,Who was the producer of The Sweet Sins of Sexy Susan?,195,0
cq,Who was the composer of You Never Know?,146,0
cq,Who was the screenwriter for The Invisible Hand?,152,0
cq,Who was the screenwriter for P Se PM Tak?,200,0
cq,Who is the author of Bec?,143,0
cq,What sport does Najeh Humoud play?,161,0
cq,What is Windsor the capital of?,135,0
cq,What genre is Hands Across the Sea?,150,0
cq,Who was the producer of Dil?,180,0
cq,Who is the father of Ragnall mac Gofraid?,185,0
cq,In what city was Jaime de Angulo born?,152,0
cq,What is Preston the capital of?,164,0
cq,Who is the author of What Remains?,144,0
cq,Who was the director of Porky's Duck Hunt?,154,0
cq,Who was the producer of M?,160,0
cq,Who is the father of Goi?,186,0
cq,What is Paddy Mullins's occupation?,161,0
cq,What sport does Elias MacDonald play?,154,0
cq,What is Delhi the capital of?,131,0
cq,Who was the producer of Long Pants?,162,0
cq,In what country is Davidson?,171,0
cq,Who was the producer of The Robe?,164,0
cq,Who is the father of Mary of Woodstock?,168,0
cq,Who is the mother of Hou Ji?,144,0
cq,What sport does Daniel Manzato play?,163,0
cq,In what city was Robert Creamer born?,176,0
cq,Who was the screenwriter for Where No One Has Gone Before?,162,0
cq,What is Sardar Muhammad Yousaf Zaman's occupation?,172,0
cq,Who was the director of Legend?,172,0
cq,Who was the screenwriter for Computer Warriors?,163,0
cq,Who was the screenwriter for Il Boss?,166,0
cq,Who was the composer of The Best Offer?,168,0
cq,Who is the author of Chosen?,154,0
cq,Who is the father of Seol Chong?,172,0
cq,What is the capital of Egypt Eyalet?,157,0
cq,In what city was Manon born?,160,0
cq,What genre is The Art of the Steal?,160,0
cq,Who was the screenwriter for Pip?,149,0
cq,Who is the father of Rafi-ush-Shan?,188,0
cq,What is Thomas Widdrington's occupation?,185,0
cq,In what city was Mark Holzemer born?,164,0
cq,What is the religion of Appalachian Bible College?,154,0
cq,What is Gina Krog's occupation?,175,0
cq,Who is the author of The Interruption of Everything?,155,0
cq,Who is the author of The New Troy?,159,0
cq,Who was the director of Guess Who?,146,0
cq,Who is the author of The Prodigal Son?,177,0
cq,"Who was the composer of Robinson Crusoe, Jr.?",163,0
cq,Who was the director of Crave?,151,0
cq,Who was the producer of Amy's Baking Company?,157,0
cq,Who was the producer of Swingers?,154,0
cq,What sport does Thiago Quirino play?,167,0
cq,What is John Jay's occupation?,158,0
cq,What is the religion of Ohio Northern University?,155,0
cq,Who was the screenwriter for Human Resources?,161,0
cq,Who was the producer of Perfect Day?,143,0
cq,Who was the director of Bread and Circuses?,160,0
cq,What is the capital of Northumberland County?,167,0
cq,Who was the director of The Emerald City?,154,0
cq,What is the capital of Lys?,163,0
cq,Who was the director of The Empath?,146,0
cq,What is the capital of Goondiwindi Region?,163,0
cq,Who was the composer of The Sanguine Fan?,156,0
cq,Who was the screenwriter for Neighbors?,172,0
cq,In what city was James W. Owens born?,161,0
cq,Who was the composer of Ninnindale?,161,0
cq,In what city was Alfred Jefferis Turner born?,178,0
cq,What is the religion of Father Jean Bernard?,149,0
cq,Who was the screenwriter for The Rubber Gun?,150,0
cq,What is the religion of Kenneth Steiner?,154,0
cq,Who was the producer of Don't Ever Leave Me?,164,0
cq,Who was the screenwriter for La Collectionneuse?,176,0
cq,What genre is No Doubt?,151,0
cq,Who was the producer of The Turning Point?,145,0
cq,Who is the author of Close to Home?,144,0
cq,What genre is SimTower?,136,0
cq,Who was the director of The Closet?,166,0
cq,In what city was Billy McGinty born?,181,0
cq,Who was the producer of Rehab?,160,0
cq,Who was the director of Little 'Tinker?,160,0
cq,Who was the composer of Mela?,174,0
cq,Who was the screenwriter for Being Human?,157,0
cq,Who was the producer of The Search?,159,0
cq,Who was the composer of Annakili?,167,0
cq,Who is the father of Pierre Joxe?,163,0
cq,Who is the author of The Story of the Daughters of Quchan?,149,0
cq,Who was the producer of Jeans?,146,0
cq,Who was the producer of Arthur 2: On the Rocks?,164,0
cq,Who was the producer of Parker?,145,0
cq,Who is the father of Abbot Oliba?,180,0
cq,Who was the screenwriter for Mantra?,161,0
cq,Who is the mother of Lincoln Stedman?,175,0
cq,What genre is Roper?,153,0
cq,What genre is Artur Lemba?,170,0
cq,Who is the father of Shi Jian?,155,0
cq,Who was the producer of Let America Laugh?,151,0
cq,Who was the producer of Kites?,164,0
cq,Who was the director of The Crocodile's Dilemma?,172,0
cq,Who was the composer of Do It Again?,165,0
cq,What is the religion of Robert J. Fox?,152,0
cq,Who is the father of Mary of Waltham?,158,0
cq,Who is the father of Gao Wei?,161,0
cq,Who was the producer of RV?,165,0
cq,Who was the producer of The Holy Girl?,184,0
cq,Who was the composer of 1984?,165,0
cq,Who was the producer of The Economics of Happiness?,133,0
cq,What is the religion of Francesco Bonifacio?,145,0
cq,Who is the father of Bridget Bendish?,188,0
cq,In what country is Ig?,188,0
cq,Who was the producer of The Best Man?,159,0
cq,Who is the author of The Origins and History of Consciousness?,161,0
cq,In what city was Herman Hertzberger born?,178,0
cq,Who was the composer of WarGames?,164,0
cq,What is the religion of James VI and I?,156,0
cq,Who was the screenwriter for A Personal Journey with Martin Scorsese Through American Movies?,149,0
cq,Who is the author of The Gathering?,146,0
cq,In what city was Doc Parker born?,168,0
cq,Who is the author of The Bishop's Heir?,169,0
cq,What is Philadelphia the capital of?,136,0
cq,Who was the composer of Trans?,146,0
cq,Who is the author of Solar?,161,0
cq,In what city was Dick Calmus born?,153,0
cq,Who is the author of Hard Time?,158,0
cq,Who was the producer of The Wild Life?,150,0
cq,Who was the screenwriter for Drive?,146,0
cq,Who was the producer of South of Heaven?,150,0
cq,Who was the director of The Ragman's Daughter?,158,0
cq,Who was the screenwriter for Nowhere?,151,0
cq,Who was the director of Submission?,153,0
cq,Who is the mother of Dan?,162,0
cq,Who was the screenwriter for The Myth of Fingerprints?,162,0
cq,Who was the screenwriter for The Betrayal?,148,0
cq,In what city was Joel Johnson born?,152,0
cq,Who was the producer of This Island Earth?,164,0
cq,Who was the composer of Julie Johnson?,150,0
cq,Who was the composer of The Fog of War?,141,0
cq,"Who is the father of Archduke Leopold of Austria, Prince of Tuscany?",180,0
cq,Who was the producer of High Risk?,156,0
cq,Who was the screenwriter for Coralie Lansdowne Says No?,145,0
cq,Who was the director of Backstage?,148,0
cq,Who is the author of Finder?,150,0
cq,In what city was Shawn Respert born?,147,0
cq,Who was the producer of Peter Gabriel?,136,0
cq,In what city was Lance Hooper born?,148,0
cq,In what city was Ralph Campney born?,167,0
cq,Who was the director of Winner Takes All?,165,0
cq,Who was the producer of Dawn?,153,0
q,What genre is Kanoon?,12,0
q,Who is the author of Free to Choose?,14,0
q,What is Prague the capital of?,12,0
q,What is Barcelona the capital of?,12,0
q,What is the capital of Loir-et-Cher?,16,0
q,In what city was Offer Nissim born?,15,0
q,What is the capital of Guyana?,13,0
q,Who is the father of Chimera?,13,0
q,What is the capital of Vimmerby Municipality?,16,0
q,Who is the author of Superman & Batman: Generations?,17,0
q,Who is the author of The Mysterious Mr Quin?,17,0
q,What is the capital of Nebraska?,12,0
q,Who is the author of Elements?,12,0
q,Who is the father of Sally Aw?,13,0
q,What is Algiers the capital of?,13,0
q,What genre is Martin Garrix?,12,0
q,Who was the screenwriter for Man of La Mancha?,17,0
q,Who was the screenwriter for Boudu Saved from Drowning?,18,0
q,Who is the author of The Prince?,13,0
q,In what country is Spumoni Gardens?,14,0
q,What sport does 1973 Virginia Slims of Fort Lauderdale play?,19,0
q,Who is the author of The Trumpet-Major?,16,0
q,Who is the father of Louis X of France?,15,0
q,In what country is KV Svalbard?,14,0
q,What is the capital of Guadeloupe?,15,0
q,Who was the screenwriter for Lars and the Real Girl?,17,0
q,What sport does 2010 Veikkausliiga play?,19,0
q,In what city was Moses the Black born?,14,0
q,Who was the producer of Afghan Massacre: The Convoy of Death?,20,0
q,In what city was Giuseppe Bezzuoli born?,17,0
q,Who is the mother of Lulach?,14,0
q,What sport does Slower ball play?,13,0
q,What is the religion of Marjorie Cameron?,15,0
q,Who was the composer of Toy Story?,13,0
q,In what city was Cornelis Springer born?,14,0
q,What genre is Ministry?,10,0
q,What genre is Joe Abercrombie?,14,0
q,What genre is Shaft?,10,0
q,In what country is Monti della Tolfa?,15,0
q,Who is the author of Gin Tama?,14,0
q,What genre is Frifot?,12,0
q,Who was the screenwriter for Absentia?,15,0
q,What is Perth the capital of?,12,0
q,Who was the screenwriter for The Circus?,14,0
q,What is the capital of Likouala Department?,15,0
q,In what country is BBC?,11,0
