question,gold,prop,kside,knows,A_cb,ctx_id,ctx_title,s_wiki_title,orig_gold,ctx_label,ctx_text,answer_surface,ans_start,ans_end,wrong_answer
Who is the author of Moneyball?,"[""Michael Lewis"", ""Michael M. Lewis"", ""Michael Monroe Lewis""]",author,K+,True,Michael Lewis,2569637,Moneyball,Moneyball,Michael Lewis,C+,"Moneyball Moneyball: The Art of Winning an Unfair Game is a book by Michael Lewis, published in 2003, about the Oakland Athletics baseball team and its general manager Billy Beane. Its focus is the team's analytical, evidence-based, sabermetric approach to assembling a competitive baseball team despite Oakland's small budget. A film based on the book, starring Brad Pitt and Jonah Hill, was released in 2011. The central premise of """"Moneyball"""" is that the collective wisdom of baseball insiders (including players, managers, coaches, scouts, and the front office) over the past century is subjective and often flawed. Statistics such as stolen",Michael Lewis,68,81,
What is Stockholm the capital of?,"[""Stockholm County"", ""Stockholms län"", ""Sweden"", ""Kingdom of Sweden"", ""SE"", ""se"", ""SWE"", ""🇸🇪"", ""Stockholm Municipality"", ""City of Stockholm"", ""Stockholms stad"", ""Union between Sweden and Norway"", ""Svensk-norska unionen"", ""Den svensk-norske union"", ""Sweden-Norway""]",capital of,K+,True,Sweden.,378270,History of Stockholm,Stockholm,Stockholm Municipality,C+,"History of Stockholm The history of Stockholm, capital of Sweden, for many centuries coincided with the development of what is today known as Gamla stan, the Stockholm Old Town. Stockholm's """"raison d'être"""" always was to be the Swedish capital and by far the largest city in the country. The name 'Stockholm' easily splits into two distinct parts – Stock-holm, """"Log-islet"""", but as no serious explanation to the name has been produced, various myths and legends have attempted to fill in the gap. According to a 17th-century myth the population at the viking settlement Birka decided to found a new settlement,",Stockholm Municipality,58,64,
In what country is Macedonian Academy of Sciences and Arts?,"[""North Macedonia"", ""Republic of North Macedonia"", ""MKD"", ""FYROM"", ""FYR Macedonia"", ""Macedonia"", ""Former Yugoslav Republic of Macedonia"", ""Republic of Macedonia"", ""🇲🇰"", ""mk""]",country,K+,True,North Macedonia,8190946,Macedonian Academy of Sciences and Arts,Macedonian Academy of Sciences and Arts,North Macedonia,C+,"Macedonian Academy of Sciences and Arts The Macedonian Academy of Sciences and Arts () is the most eminent academic institution in the Republic of Macedonia. The Academy of Sciences and Arts was established by the Macedonian Assembly on 22 February 1967 as the highest scientific, scholarly and artistic institution in the country with the aim of monitoring and stimulating the sciences and arts. The Academy's objectives are to survey the cultural heritage and natural resources, to assist in the planning of a national policy regarding the sciences and arts, to stimulate, co-ordinate, organise and conduct scientific and scholarly research and",North Macedonia,135,156,
What genre is Synyster Gates?,"[""heavy metal"", ""heavy metal music"", ""Heavy Metal"", ""Metal"", ""Metal music"", ""metal"", ""Heavy Metal Music""]",genre,K+,True,"Synyster Gates is a guitarist, best known for being a member of the heavy metal band Avenged Sevenfold.",5816557,Synyster Gates,Synyster Gates,heavy metal,C+,"Synyster Gates Brian Elwin Haner Jr. (born July 7, 1981), better known by his stage name Synyster Gates or simply Syn, is an American musician, best known for being the lead guitarist and backing vocalist of the band Avenged Sevenfold. He ranks No. 87 on """"Guitar World""""s 100 Greatest Guitarists of All Time. Gates was voted as Best Metal Guitarist in the World by """"Total Guitar"""" in 2016 and once again in 2017. Synyster Gates is the son of musician, author, and comedian Brian Haner, Sr., who worked with Sam the Sham's band in the 1970s and has done session",heavy metal,334,339,
Who is the author of The Clouds?,"[""Aristophanes"", ""Father of Comedy""]",author,K+,True,Aristophanes,1376535,The Clouds,The Clouds,Aristophanes,C+,"the protagonist, is the protagonist's cheer squad by the end of the play. In """"The Clouds"""" however, the Chorus appears sympathetic at first but emerges as a virtual antagonist by the end of the play. The play adapts the following elements Old Comedy in a variety of novel ways. The Clouds The Clouds ( """"Nephelai"""") is a Greek comedy play written by the playwright Aristophanes. A lampooning of intellectual fashions in classical Athens, it was originally produced at the City Dionysia in 423BC and was not as well received as the author had hoped, coming last of the three plays",Aristophanes,366,378,
What is William Molyneux's occupation?,"[""astronomer"", ""philosopher"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation,K+,True,Physician and politician.,5685247,William Molyneux,William Molyneux,astronomer,C+,"William Molyneux William Molyneux (; 17 April 1656 – 11 October 1698) was an Irish writer on science, politics and natural philosophy. He is noted as a close friend of fellow philosopher John Locke, and for proposing Molyneux's Problem, a thought experiment widely discussed. He was born in Dublin to Samuel Molyneux (1616–1693), lawyer and landowner (whose grandfather, Sir Thomas Molyneux, had come to Dublin from Calais in the 1560s), and his wife, Anne, née Dowdall. The second of five children, William Molyneux came from a relatively prosperous Anglican background, with his father established at Castle Dillon in County Armagh,",astronomer,175,186,
Who is the mother of Sean Penn?,"[""Eileen Ryan""]",mother,K+,True,Eileen Ryan,1069065,Sean Penn,Sean Penn,Eileen Ryan,C+,"critical acclaim and two Academy Award nominations. In addition to his film work, Penn engages in political and social activism, including his criticism of the George W. Bush administration, his contact with the Presidents of Cuba and Venezuela, and his humanitarian work in the aftermath of Hurricane Katrina in 2005 and the 2010 Haiti earthquake. Penn was born in Santa Monica, California, to actor and director Leo Penn, and actress Eileen Ryan (""""née"""" Annucci). His older brother is musician Michael Penn. His younger brother, actor Chris Penn, died in 2006. His paternal grandparents were Ashkenazi Jewish emigrants from Lithuania and",Eileen Ryan,436,447,
Who is the father of Griffin O'Neal?,"[""Ryan O'Neal""]",father,K+,True,Ryan O'Neal,7249210,Griffin O'Neal,Griffin O'Neal,Ryan O'Neal,C+,"Francis Ford Coppola (Gian-Carlo's father) in the film """"Gardens of Stone"""", and afterward O'Neal asked to be replaced in the film. He was convicted of negligently operating a boat, and received an 18-day jail sentence for not completing community service. In August 2011, while driving, O'Neal collided with another car. He was sentenced to 16 months in prison for driving under the influence of drugs in connection with that incident. Griffin O'Neal Griffin Patrick O'Neal (born October 28, 1964) is an American actor. O'Neal was born in Los Angeles to actor Ryan O'Neal and his first wife, the late actress",Ryan O'Neal,561,572,
What genre is Claude Lorrain?,"[""landscape art"", ""landscape painting"", ""landscape""]",genre,K+,True,Claude Lorrain is a painter of the Baroque and Landscape genres.,860652,Claude Lorrain,Claude Lorrain,landscape art,C+,"Claude Lorrain Claude Lorrain (; born Claude Gellée , called le Lorrain in French; traditionally just Claude in English; c. 1600 – 23 November 1682) was a French painter, draughtsman and etcher of the Baroque era. He spent most of his life in Italy, and is one of the earliest important artists, apart from his contemporaries in Dutch Golden Age painting, to concentrate on landscape painting. His landscapes are usually turned into the more prestigious genre of history paintings by the addition of a few small figures, typically representing a scene from the Bible or classical mythology. By the end",landscape art,374,392,
What is the capital of Nan?,"[""Nan""]",capital,K+,True,"I don't have information on a place called ""Nan"". Could you provide more context or clarify which ""Nan"" you are referring to?",1823771,Nan Province,Nan Province,Nan,C+,"as it was easier to reach from the south than from the east or west. In the 14th century the capital was moved to its present location at Nan. In the 15th century, when Sukhothai declined in power, it became vassal of the kingdom of Lannathai. In 1443 King Kaen Thao of Nan plotted to capture neighboring Phayao by asking King Tilokaraj to help him fight against Vietnamese troops attacking Nan, even though there was no such threat. Kaen Thao killed the king of Phayao, however the troops of Tilokaraj then attacked Nan itself, and captured it in 1449. When",Nan,138,141,
What is the capital of Armenia?,"[""Yerevan"", ""Erivan"", ""Erevan"", ""The Pink City"", ""Irevan"", ""Iravan""]",capital,K+,True,Yerevan.,3217658,Armenia national football team,Armenia,Yerevan,C+,"FIFA World Cup. In what was the Armenian national squad's greatest success at present, the team came in third place in the UEFA Euro 2012 qualifying stage, with controversial officiating preventing them from achieving second place, and hence moving on to the play-off stage. The primary training ground is at the Technical Center-Academy of the Football Federation of Armenia in the northern Avan District of the capital Yerevan, and the team plays their home matches at the Republican Stadium. Armenia became an independent state in 1991, the Armenian SSR having previously played for the Soviet Union national football team. The",Yerevan,421,428,
What is Rhea Silvia's occupation?,"[""Vestal Virgin""]",occupation,K+,True,"Rhea Silvia is a Vestal Virgin, a priestess of the goddess Vesta in Roman mythology.",880961,Rhea Silvia,Rhea Silvia,Vestal Virgin,C+,"Rhea Silvia Rhea Silvia (also written as Rea Silvia), and also known as Ilia , was the mythical mother of the twins Romulus and Remus, who founded the city of Rome. Her story is told in the of """"Ab Urbe Condita Libri"""" of Livy and in fragments from Ennius, """"Annales"""" and Quintus Fabius Pictor. According to Livy's account of the legend she was the daughter of Numitor, king of Alba Longa, and descended from Aeneas. Numitor's younger brother Amulius seized the throne and killed Numitor's son, then forced Rhea Silvia to become a Vestal Virgin, a priestess of the goddess",Vestal Virgin,532,545,
Who was the producer of The Terminal?,"[""Steven Spielberg"", ""Steven Allan Spielberg"", ""Spielberg""]",producer,K+,True,Steven Spielberg was the producer of The Terminal.,3179572,The Terminal,The Terminal,Steven Spielberg,C+,"The Terminal The Terminal is a 2004 American comedy-drama film co-produced and directed by Steven Spielberg and starring Tom Hanks, Catherine Zeta-Jones, and Stanley Tucci. The film is about an Eastern European man who becomes stuck in New York's John F. Kennedy Airport terminal when he is denied entry into the United States and at the same time cannot return to his native country because of a military coup. The film is partially inspired by the 18-year stay of Mehran Karimi Nasseri in Terminal 1 of Paris-Charles de Gaulle Airport, France, from 1988 to 2006. After finishing his previous film,",Steven Spielberg,91,107,
What genre is Suikoden Tierkreis?,"[""role-playing video game"", ""RPG"", ""RPVG"", ""role playing video game"", ""role-playing game"", ""role playing video games"", ""CRPG"", ""computer RPG"", ""computer role-playing video game"", ""RP video game""]",genre,K+,True,Suikoden Tierkreis is a tactical role-playing game.,12361857,Suikoden Tierkreis,Suikoden Tierkreis,role-playing video game,C+,"Suikoden Tierkreis Suikoden Tierkreis ( is a role-playing video game for the Nintendo DS developed and published by Konami as part of the """"Suikoden"""" series. It was released in December 2008 in Japan, and released in English in Europe and North America in March 2009. The game's development was led by project head Osamu Komuta, who had previously been a planner for """"Suikoden Tactics"""", with a music staff composed of Norikaku Miura, Yoshino Aoki, Masaharu Iwata, and Kaori Komuro. The game features the opening and ending theme songs """"Tears in the Sky"""" and """"Tierkreis"""" respectively, each performed by Japanese pop",role-playing video game,45,68,
In what country is Joint European Torus?,"[""United Kingdom"", ""🇬🇧"", ""UK"", ""United Kingdom of Great Britain and Northern Ireland"", ""U.K."", ""GBR"", ""GB"", ""U. K."", ""U K"", ""G.B."", ""G. B."", ""G B"", ""Great Britain"", ""G.B.R."", ""G B R"", ""Britain"", ""Great Britain and Northern Ireland""]",country,K+,True,United Kingdom,1900977,Joint European Torus,Joint European Torus,United Kingdom,C+,"Joint European Torus JET, the Joint European Torus, is the world's largest operational magnetically confined plasma physics experiment, located at Culham Centre for Fusion Energy in Oxfordshire, UK. Based on a tokamak design, the fusion research facility is a joint European project with a main purpose of opening the way to future nuclear fusion grid energy. JET was one of a number of tokamak reactors built in the early 1980s that tested new design concepts. It was one of only two designed to work with a real deuterium-tritium fuel mix, the other being the US-built TFTR. Both were built with",United Kingdom,195,197,
What is Seif Sharif Hamad's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation,K+,True,Chadian politician.,5833800,Seif Sharif Hamad,Seif Sharif Hamad,politician,C+,"(The charges were finally dropped by the Zanzibar Magistrate’s Court in November 2003). Hamadi became the first ever vice president of Zanzibar when Dr. Shein was sworn in as president of Zanzibar.cuf isles Seif Sharif Hamad Seif Sharif Hamad (born 22 October 1943) is a Zanzibari politician. He is the secretary-general of the opposition Civic United Front (CUF) party and first vice president of Zanzibar. 1950–1957: Hamad attended Primary School at Uondwe and Wete Boys School, in Pemba. He started his secondary education from 1958–1961, at King George VI Memorial Secondary School, in Zanzibar Town, Zanzibar. Hamad goes on to",politician,281,291,
Who was the producer of Particle Fever?,"[""Mark Levinson""]",producer,K+,True,David Kaplan and Mark Levinson were the producers of Particle Fever.,17915445,Particle Fever,Particle Fever,Mark Levinson,C+,"particle, with a mass of approximately 125 GeV. The discovery of the particle is met with a standing ovation, and Peter Higgs is shown wiping away tears. However, neither of the competing theories of the universe is definitively supported by the finding. Later, Kaplan is shown admitting that """"none"""" of his theoretical models are supported by this finding, and that the long-term implications of the discovery are unclear. The film was shot over a period of seven years. It was directed by Mark Levinson, a former theoretical physicist with a doctorate from UC-Berkeley. Levinson produced the film along with David",Mark Levinson,492,505,
Who is the father of James I of Aragon?,"[""Peter II of Aragon""]",father,K+,True,Peter II of Aragon,731276,James I of Aragon,James I of Aragon,Peter II of Aragon,C+,"in the development of the Catalan language, sponsoring Catalan literature and writing a quasi-autobiographical chronicle of his reign: the """"Llibre dels fets"""". James was born at Montpellier as the only son of Peter II of Aragon and Marie of Montpellier. As a child, James was made a pawn in the power politics of Provence, where his father was engaged in struggles helping the Cathar heretics of Albi against the Albigensian Crusaders led by Simon IV de Montfort, Earl of Leicester, who were trying to exterminate them. Peter endeavoured to placate the northern crusaders by arranging a marriage between his son",Peter II of Aragon,210,228,
In what country is New York State Route 157?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country,K+,True,United States,9202197,New York State Route 157A,New York State Route 157,United States of America,C+,"it continued northeastward to Thompson's Lake on current NY 910J and NY 157A. At Thompson's Lake, the route proceeded northeastward onto modern NY 157 and continued toward Albany. The remainder of what is now NY 157A was state-maintained by 1926. The entirety of NY 157A, including the segment not part of legislative Route 7, was assigned in 1930. New York State Route 157A New York State Route 157A (NY 157A) is an east–west state highway located in Albany County, New York, in the United States. It serves as a loop route of NY 157 through the towns of Knox and",United States of America,480,497,
In what country is Canadian Dairy Commission?,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""ca"", ""can"", ""Can.""]",country,K+,True,Canada,4088381,Canadian Dairy Commission,Canadian Dairy Commission,Canada,C+,"Canadian Dairy Commission The Canadian Dairy Commission (French: """"Commission canadienne du lait"""") is an Ottawa-based Canadian government Crown corporation that plays a role of administrator, facilitator and stakeholder in the public policy related to the Canadian dairy industry. The CDC's mandate is to coordinate dairy policies in a jurisdiction that is shared between both provincial and federal governments. In the early 1970s, when the dairy industry became the first industry in Canada to be operated under the national supply management system (NSMS), the CDC was named as facilitator and administrator coordinating dairy policies and providing a framework for the management",Canada,487,493,
Who is the author of Make Love! The Bruce Campbell Way?,"[""Bruce Campbell"", ""Bruce Lorne Campbell""]",author,K+,True,Bruce Campbell,9557502,Make Love! The Bruce Campbell Way,Make Love! The Bruce Campbell Way,Bruce Campbell,C+,"Make Love! The Bruce Campbell Way Make Love! The Bruce Campbell Way is a book by author and actor Bruce Campbell. The novel is written in the first person and involves real life celebrities such as Richard Gere, Renée Zellweger and Mike Nichols; however, it is fiction. On the jacket of """"Make Love! The Bruce Campbell Way"""" the author states, quote: Is it an """"autobiographical novel""""? Yes. I'm the lead character in the story, and I'm a real person, and everything in the book actually happened, except for the stuff that didn't. It was first published on May 26, 2005",Bruce Campbell,15,29,
Who was the producer of Chef?,"[""Jon Favreau"", ""Jonathan Favreau"", ""Jonathan Kolia Favreau""]",producer,K+,True,Jon Favreau,17303965,Chef (2014 film),Chef (2014 film),Jon Favreau,C+,"Chef (2014 film) Chef is a 2014 American comedy-drama film written, co-produced, directed by, and starring Jon Favreau. Favreau plays a chef who, after a public altercation with a food critic, quits his job at a popular Los Angeles restaurant to operate a food truck with his young son. It co-stars Sofía Vergara, John Leguizamo, Scarlett Johansson, Oliver Platt, Bobby Cannavale, Dustin Hoffman, and Robert Downey Jr. albeit in a cameo role. Favreau wrote the script after directing several big-budget films, wanting to go """"back to basics"""" and to create a film about cooking. Food truck owner and chef Roy",Jon Favreau,107,118,
What is the capital of Tunisia?,"[""Tunis""]",capital,K+,True,Tunis.,20336642,Qatar–Tunisia relations,Tunisia,Tunis,C+,"Qatar–Tunisia relations Qatar – Tunisia relations are the bilateral relations between the State of Qatar and the Republic of Tunisia. Qatar is a heavy investor in Tunisia, and ranks second globally in terms of foreign direct investments in Tunisia. The two enjoyed close political relations during the Ennahda Movement's assumption of power in Tunisia in 2011. Qatar maintains an embassy in Tunisia's capital city Tunis, while Tunisia has an embassy in Doha, Qatar. In June 2017, during the 2017 Qatar diplomatic crisis, Qatar's State Minister for Foreign Affairs, Sultan bin Saad Al Muraikhi, met with Tunisian president Beji Caid Essebsi",Tunis,414,419,
Who is the author of The Confidential Clerk?,"[""T. S. Eliot"", ""Thomas Stearns Eliot"", ""Eliot"", ""T S Eliot"", ""Thomas Eliot"", ""T.S. Eliot""]",author,K+,True,T.S. Eliot,10309810,The Confidential Clerk,The Confidential Clerk,T. S. Eliot,C+,"Faber and Faber Ltd., London, UK, in 1954. """"The Confidential Clerk"""" was the last play to become a New York Times bestseller for 33 years. The Confidential Clerk The Confidential Clerk is a comic verse play by T. S. Eliot. Sir Claude Mulhammer, a wealthy entrepreneur, decides to smuggle his illegitimate son Colby into the household by employing him as his confidential clerk. He hopes that his eccentric wife, Lady Elizabeth Mulhammer, will take a liking to the boy and allow him to live as her adopted son. She in fact becomes convinced that Colby is actually her own son.",T. S. Eliot,217,222,
What color is snow?,"[""white"", ""W"", ""color white"", ""#FFFFFF""]",color,K+,True,White.,6822405,Snow White design language,Snow,white,C+,"project’s code name. The Apple IIc computer, and its peripherals, were the first Snow White design. Initially, Snow White debuted in a creamy off-white color known at Apple as """"Fog"""" but later other products moved to the warm gray """"Platinum"""" color, lighter than the previous Apple """"Putty"""" color, used throughout the Apple product line from 1987 on. Esslinger favored a bright-white color originally for the IIc, but Jerry Manock successfully argued that it would attract fingerprints. Nevertheless, Esslinger detested the original Apple beige color and insisted all Snow White-styled products use the same off-white color as the IIc. Until the",white,86,91,
What is the capital of Silla?,"[""Gyeongju"", ""Kyŏngju"", ""Kyongiu""]",capital,K+,True,Gyeongju.,7357538,Crowns of Silla,Silla,Gyeongju,C+,"Crowns of Silla The crowns of Silla were made in the Korean kingdom of Silla approximately in the 5th–7th centuries. These crowns were excavated in Gyeongju, the former capital of Silla, and are designated National treasures of South Korea. The Silla crowns are very fragile and weigh more than one kilogram. The Silla kings probably did not wear the golden crowns regularly. They were probably used only for formal and ceremonial occasions. The Silla crowns were uncovered in the tumuli of Gyeongju, South Korea, the capital of Silla and Unified Silla. Silla tumuli, unlike their Baekje and Goguryeo counterparts were",Gyeongju,148,156,
In what country is Wiang Kao?,"[""Thailand"", ""Kingdom of Thailand"", ""th"", ""Siam"", ""🇹🇭"", ""Land of Smiles"", ""THA""]",country,K+,True,Thailand,9125376,Wiang Kao District,Wiang Kao District,Thailand,C+,"Wiang Kao District Wiang Kao (, ) is a district (""""amphoe"""") of Khon Kaen Province, northeastern Thailand. The major district (""""king amphoe"""") was created by splitting three """"tambons"""" from Phu Wiang District. Its creation became effective on 1 May 2006. On 15 May 2007, all 81 minor districts were upgraded to full districts. With publication in the """"Royal Gazette"""" on 24 August the upgrade became official. Neighboring districts are (from the north clockwise) Nong Na Kham, Phu Wiang, Chum Phae, and Si Chomphu. The district is in the Phu Wiang mountains, parts of it in Phu Wiang National Park. In",Thailand,97,105,
Who is the father of Donald Trump?,"[""Fred Trump"", ""Frederick Christ Trump"", ""Fred Christ Trump"", ""Frederick Trump"", ""Frederick Christ Trump, Jr."", ""Frederick Trump, Jr."", ""Fred Christ Trump, Jr.""]",father,K+,True,Fred Trump.,19817967,Family of Donald Trump,Donald Trump,Fred Trump,C+,"2013) and Theodore James Kushner (born March 27, 2016). On September 12, 2017, Eric Trump and his wife Lara announced the birth of their son Eric """"Luke"""" Trump, who is their first child and Donald Trump's ninth grandchild. Donald Trump's paternal ancestry is traceable to Bobenheim am Berg, a village in the Palatinate, Germany, in the 18th century. Johann Trump, born in Bobenheim in 1789, moved to the nearby village of Kallstadt where his grandson, Friedrich Trump, the grandfather of Donald Trump, was born in 1869. This German heritage was long concealed by Donald Trump's father, Fred Trump, who had",Fred Trump,587,597,
In what city was Benny Napoleon born?,"[""Detroit"", ""Motor City"", ""Detroit, Michigan"", ""Detroiit"", ""Detroit, MI"", ""The D""]",place of birth,K+,True,"Detroit, Michigan.",17471702,Benny Napoleon,Benny Napoleon,Detroit,C+,"Benny Napoleon Benny Napoleon (born 1955) is an American police officer and politician who is the current Sheriff of Wayne County, Michigan, and a 2013 candidate for the office of Mayor of Detroit. Napoleon graduated from Cass Technical High School. He entered the Detroit Police in 1975, and rose through the ranks. He served as police chief from 1998-2001 under Dennis Archer. In 2004 he was made Assistant Wayne County Executive, and in 2009 he became Wayne County Sheriff. In 2012, Brian Banks falsely claimed to be an attorney, leading Napoleon to endorse him. Napoleon's spokesman Dennis Niemiec said the",Detroit,189,196,
What is the capital of Connecticut?,"[""Hartford"", ""Hartford, Connecticut""]",capital,K+,True,Hartford.,81815,Connecticut,Connecticut,Hartford,C+,"New London to Orient, New York; Fishers Island, New York; and Block Island, Rhode Island, which are popular tourist destinations. Small local services operate the Rocky Hill – Glastonbury Ferry and the Chester–Hadlyme Ferry which cross the Connecticut River. Hartford has been the sole capital of Connecticut since 1875. Before then, New Haven and Hartford alternated as capitals. Connecticut is known as the """"Constitution State"""". The origin of this nickname is uncertain, but it likely comes from Connecticut's pivotal role in the federal constitutional convention of 1787, during which Roger Sherman and Oliver Ellsworth helped to orchestrate what became known",Hartford,259,267,
Who is the author of Our Lady of the Flowers?,"[""Jean Genet""]",author,K+,True,Jean Genet,4968896,Our Lady of the Flowers,Our Lady of the Flowers,Jean Genet,C+,"Our Lady of the Flowers Our Lady of the Flowers (""""Notre-Dame-des-Fleurs"""") is the debut novel of French writer Jean Genet, first published in 1943. The free-flowing, poetic novel is a largely autobiographical account of a man's journey through the Parisian underworld. The characters are drawn after their real-life counterparts, who are mostly homosexuals living on the fringes of society. The novel tells the story of Divine, a drag queen who, when the novel opens, has died of tuberculosis and been canonised as a result. The narrator tells us that the stories he is telling are mainly to amuse himself whilst",Jean Genet,112,122,
What is the capital of Azerbaijan?,"[""Baku"", ""City of Winds""]",capital,K+,True,Baku.,5349884,Culture of Azerbaijan,Azerbaijan,Baku,C+,"new period in town-building and architectural development of Azerbaijan began in Azerbaijan in the 1960s. Baku, the capital of the Republic of Azerbaijan, grew into a large capital city during these years. This was also the time of erection of wonderful architectural ensembles and advanced buildings, which defined the city image. The film industry in Azerbaijan dates back to 1898. In fact, Azerbaijan was among the first countries involved in cinematography: it is not surprising that this new medium soon showed up in cosmopolitan """"nouveau-riche"""" Baku at the turn of the 19th century. The Azerbaijani cuisine, throughout the centuries, has",Baku,106,110,
Who was the director of Alien?,"[""Ridley Scott"", ""Sir Ridley Scott""]",director,K+,True,Ridley Scott,3022249,Alien (creature in Alien franchise),Alien (franchise),Ridley Scott,C+,"seen anything that was quite as horrible and at the same time as beautiful as his work"""" he remembered later. The """"Dune"""" film collapsed, but O'Bannon would remember Giger when """"Alien"""" was greenlit, and suggested to director Ridley Scott that he be brought on to design the Alien, saying that if he were to design a monster, it would be truly original. After O'Bannon handed him a copy of Giger's book """"Necronomicon"""", Scott immediately saw the potential for Giger's designs, and chose """"Necronom IV"""", a print Giger completed in 1976, as the basis for the Alien's design, citing its beauty",Ridley Scott,228,240,
Who is the author of The Incoherence of the Philosophers?,"[""Al-Ghazali"", ""Ghazzoliĭ, Muḣammad ibn Muḣammad ibn Aḣmad Abu Ḣomid at-Tusiĭ,"", ""Al-Ghazzali"", ""Abu Hamid al-Ghazālī"", ""Algazelus"", ""Algazel"", ""Abu Hamid al-Ghazali"", ""Abu Mohammed al-Ghazali"", ""Al-Gonzzali"", ""Ghonzzali""]",author,K+,True,Al-Ghazali,5235055,The Incoherence of the Philosophers,The Incoherence of the Philosophers,Al-Ghazali,C+,"of scientific inquiry later withered in Islamic lands. If """"Allah's hand is not chained"""", then there was no point in discovering the alleged laws of nature. For example: The Ottoman sultan Mehmed II (a.k.a. """"el-Fatih"""") once commissioned two of the realm's scholars to write a book summarizing the ideas of the two great philosophers as to who won the debate across time. The Incoherence of the Philosophers The Incoherence of the Philosophers (تهافت الفلاسفة """"Tahāfut al-Falāsifaʰ"""" in Arabic) is the title of a landmark 11th-century work by the Persian theologian Al-Ghazali and a student of the Asharite school of Islamic",Al-Ghazali,569,579,
What is the capital of Bangladesh?,"[""Dhaka"", ""Dacca"", ""Dhaka City""]",capital,K+,True,Dhaka.,11848276,Transport between India and Bangladesh,Bangladesh,Dhaka,C+,"two governments moved slowly on implementing a 1980 agreement on improving transport links. In the 1990s, the Indian and Bangladeshi governments collaborated to open bus services between Kolkata, the capital of West Bengal and one of the largest cities in India, and Dhaka, the capital and largest city of Bangladesh. In 2001, another bus service was launched to connect Dhaka with Agartala, the capital of the Indian state of Tripura the second largest city of Northeast India that borders Bangladesh in the east. Since the 1980s, the Indian and Bangladeshi governments have sought to negotiate an agreement permitting commercial vehicles",Dhaka,267,272,
In what city was Alma Karlin born?,"[""Celje""]",place of birth,K+,True,"Celje, Slovenia",11946246,Alma Karlin,Alma Karlin,Celje,C+,"are kept in the National and University Library of Slovenia and in the Berlin State Library. Alma Karlin Alma Vilibalda Maximiliana Karlin (12 October 1889 – 15 January 1950) was a Slovene-Austrian traveler, writer, poet, collector, polyglot and theosophist. She was born in the Styrian town of Celje (now part of Slovenia) in what was then the Austro-Hungarian Empire as the daughter of Jakob Karlin, a major in the Austro-Hungarian Army, and Vilibalda Miheljak, a teacher. Her father died when she was eight years old. Alma grew in a predominately German-speaking milieu, and regarded herself chiefly as Austrian rather than",Celje,295,300,
What is Stevie Cameron's occupation?,"[""journalist"", ""journo"", ""journalists""]",occupation,K+,True,Investigative journalist.,4682396,Stevie Cameron,Stevie Cameron,journalist,C+,"Stevie Cameron Stevie (Stephanie Graham) Cameron, , (born 11 October 1943) is an award-winning Canadian investigative journalist and best-selling author. Born in Belleville, Ontario in 1943, she now lives in Toronto with her husband, David Cameron, a professor at the University of Toronto. They have two daughters, who are both Toronto-based screenwriters. Stevie Cameron was born in Belleville, Ontario as daughter of Harold Edward Dahl, a mercenary American pilot who fought in the Spanish Republican Air Force during the Spanish Civil War; she has an honours B.A. in English from the University of British Columbia, worked for the Department of",journalist,118,128,
What genre is S.H.E?,"[""mandopop"", ""Mandarin popular music"", ""mandapop""]",genre,K+,True,"S.H.E is a Mandopop girl group, which is a genre of Chinese pop music.",8162319,Forever (S.H.E album),S.H.E,mandopop,C+,"(What Happened to Us) were nominated for """"Top 10 Gold Songs"""" at the Hong Kong TVB8 Awards, presented by television station TVB8, in 2006. The track, """"觸電"""" (Electric Shock), composed by Jay Chou, won one of the """"Top 10 Songs of the Year"""" at the 2007 HITO Radio Music Awards presented by Taiwanese radio station Hit FM. The album is the ninth best selling album in Taiwan with 69,000 copies sold in 2006. Forever (S.H.E album) Forever (New Song + Collection) () is Taiwanese Mandopop girl group S.H.E's second compilation album and 9th album overall. It was released on 21",mandopop,478,486,
Who is the author of Tuesday?,"[""David Wiesner""]",author,K+,True,David Wiesner,9600032,Tuesday (book),Tuesday (book),David Wiesner,C+,"Tuesday (book) Tuesday, written and illustrated by David Wiesner, is a 1991 picture book published by Clarion Books. """"Tuesday"""" received the 1992 Caldecott Medal for illustrations and was Wiesner's first of three Caldecott Medals that he has won during his career. Wiesner subsequently won the Caldecott Medal in 2002 for """"The Three Pigs"""", and the 2007 medal for """"Flotsam"""". """"Tuesday"""" is an almost wordless picture book for children, written and illustrated by American author David Wiesner. The book was originally published in 1991 by Clarion Books, and then re-published in 2001 by Houghton Mifflin Harcourt Books for Young Readers. The",David Wiesner,51,64,
